Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2021-04-30,TATAMOTORS,2021-07-29,302.65,305.45,296.5,297.25,296.95,297.25,72,61541000.0,96900,96900,
2021-05-03,TATAMOTORS,2021-07-29,288.55,297.7,288.55,296.0,296.0,296.0,46,38563000.0,151050,54150,
2021-05-04,TATAMOTORS,2021-07-29,302.0,302.6,292.5,293.4,294.0,293.4,34,28737000.0,205200,54150,
2021-05-05,TATAMOTORS,2021-07-29,296.0,297.0,293.35,296.3,296.3,296.3,21,17673000.0,216600,11400,
2021-05-06,TATAMOTORS,2021-07-29,297.05,306.15,297.0,305.7,306.0,305.7,57,48959000.0,213750,-2850,
2021-05-07,TATAMOTORS,2021-07-29,308.1,309.55,304.7,308.15,307.5,308.15,47,41094000.0,265050,51300,
2021-05-10,TATAMOTORS,2021-07-29,307.75,319.8,307.75,319.25,319.8,319.25,49,44012000.0,230850,-34200,
2021-05-11,TATAMOTORS,2021-07-29,315.0,323.8,314.0,318.95,318.0,318.95,63,57470000.00000001,262200,31350,315.55
2021-05-12,TATAMOTORS,2021-07-29,326.0,338.6,323.35,330.1,330.45,330.1,78,73606000.0,304950,42750,
2021-05-14,TATAMOTORS,2021-07-29,330.9,330.9,313.6,314.8,315.8,314.8,71,64478000.0,404700,99750,
2021-05-17,TATAMOTORS,2021-07-29,315.55,327.4,315.55,325.0,325.5,325.0,61,56114000.0,453150,48450,
2021-05-18,TATAMOTORS,2021-07-29,329.65,340.75,328.95,336.7,335.65,336.7,138,131809999.99999999,555750,102600,
2021-05-19,TATAMOTORS,2021-07-29,319.35,324.5,316.0,317.9,317.4,317.9,263,239235000.0,914850,359100,
2021-05-20,TATAMOTORS,2021-07-29,317.4,319.35,310.5,311.0,311.5,311.0,193,171922000.0,1034550,119700,
2021-05-21,TATAMOTORS,2021-07-29,314.45,319.0,313.3,316.15,315.5,316.15,106,95544000.0,1023150,-11400,
2021-05-24,TATAMOTORS,2021-07-29,318.1,319.15,313.6,315.45,315.8,315.45,142,128083000.0,1154250,131100,
2021-05-25,TATAMOTORS,2021-07-29,318.65,322.5,318.0,319.05,319.0,319.05,157,143298000.0,1285350,131100,315.25
2021-05-26,TATAMOTORS,2021-07-29,320.2,323.3,317.9,318.35,318.0,318.35,160,146194000.0,1527600,242250,315.5
2021-05-27,TATAMOTORS,2021-07-29,320.5,327.45,320.5,322.4,323.0,322.4,361,333713000.0,1866750,339150,318.6
2021-05-28,TATAMOTORS,2021-07-29,326.85,327.45,319.5,321.95,322.9,321.95,358,330240000.0,2063400,196650,318.75
2021-05-31,TATAMOTORS,2021-07-29,319.35,322.3,314.9,321.15,320.8,321.15,372,338275000.0,2262900,199500,
2021-06-01,TATAMOTORS,2021-07-29,322.45,329.0,320.15,320.95,321.05,320.95,616,568144000.0,2508000,245100,
2021-06-02,TATAMOTORS,2021-07-29,318.9,328.0,318.9,326.3,326.25,326.3,427,394598000.0,2402550,-105450,
2021-06-03,TATAMOTORS,2021-07-29,328.3,331.0,327.0,328.45,328.05,328.45,382,358281000.0,2311350,-91200,
2021-06-04,TATAMOTORS,2021-07-29,329.35,340.0,328.6,338.15,340.0,338.15,726,690680000.0,2356950,45600,
2021-06-07,TATAMOTORS,2021-07-29,344.45,354.6,344.45,348.75,347.95,348.75,1063,1059634000.0,2516550,159600,
2021-06-08,TATAMOTORS,2021-07-29,349.7,359.9,340.25,356.4,359.9,356.4,1056,1051471999.9999999,2718900,202350,
2021-06-09,TATAMOTORS,2021-07-29,358.8,362.15,342.15,345.75,346.8,345.75,1751,1759343999.9999998,3420000,701100,
2021-06-10,TATAMOTORS,2021-07-29,347.7,350.3,345.0,347.2,347.75,347.2,594,588514000.0,3531150,111150,
2021-06-11,TATAMOTORS,2021-07-29,348.95,355.35,347.65,352.75,352.35,352.75,829,831662000.0000001,3599550,68400,
2021-06-14,TATAMOTORS,2021-07-29,351.2,360.05,343.4,358.15,358.45,358.15,1530,1538559000.0,4001400,401850,
2021-06-15,TATAMOTORS,2021-07-29,357.85,363.0,354.25,354.9,354.95,354.9,1194,1219021000.0,4887750,886350,
2021-06-16,TATAMOTORS,2021-07-29,352.85,358.4,350.0,351.05,350.05,351.05,1911,1925653000.0,7230450,2342700,349.35
2021-06-17,TATAMOTORS,2021-07-29,350.05,355.0,344.25,347.85,347.6,347.85,2488,2476908000.0,9567450,2337000,
2021-06-18,TATAMOTORS,2021-07-29,347.6,348.9,330.7,339.85,340.55,339.85,6944,6709639999.999999,19733400,10165950,337.4
2021-06-21,TATAMOTORS,2021-07-29,331.65,337.25,328.0,335.35,335.2,335.35,12946,12293572000.0,40418700,20685300,
2021-06-22,TATAMOTORS,2021-07-29,338.6,346.45,338.0,339.4,338.95,339.4,12802,12522379000.0,58809750,18391050,
2021-06-23,TATAMOTORS,2021-07-29,341.6,344.6,336.1,336.8,337.0,336.8,13891,13471464000.000002,74849550,16039800,335.25
2021-06-24,TATAMOTORS,2021-07-29,337.05,339.1,334.75,335.95,336.5,335.95,10828,10399665000.0,86115600,11266050,334.65
2021-06-25,TATAMOTORS,2021-07-29,337.8,344.95,337.7,340.7,340.2,340.7,9747,9491940000.0,87016200,900600,
2021-06-28,TATAMOTORS,2021-07-29,341.4,346.85,338.55,344.7,344.9,344.7,9638,9420171000.0,87423750,407550,
2021-06-29,TATAMOTORS,2021-07-29,344.75,348.1,340.75,342.95,343.55,342.95,10017,9837208000.0,89860500,2436750,341.55
2021-06-30,TATAMOTORS,2021-07-29,343.5,347.4,339.85,340.95,341.55,340.95,9122,8945368000.0,88786050,-1074450,
2021-07-01,TATAMOTORS,2021-07-29,343.0,349.2,342.3,344.8,345.2,344.8,12704,12520868000.0,88666350,-119700,
2021-07-02,TATAMOTORS,2021-07-29,345.05,346.4,341.15,345.45,345.55,345.45,7671,7523689000.0,88794600,128250,344.9
2021-07-05,TATAMOTORS,2021-07-29,347.65,351.15,344.65,346.9,346.75,346.9,8765,8687870000.0,89478600,684000,
2021-07-06,TATAMOTORS,2021-07-29,349.1,359.5,312.25,316.8,316.0,316.8,77043,72989607000.0,99912450,10433850,316.9
2021-07-07,TATAMOTORS,2021-07-29,315.15,319.15,306.65,316.6,316.7,316.6,38519,34430016000.0,111511950,11599500,
2021-07-08,TATAMOTORS,2021-07-29,313.95,314.4,302.45,305.05,304.35,305.05,33116,29112028000.000004,126423150,14911200,
2021-07-09,TATAMOTORS,2021-07-29,304.15,306.95,300.35,304.8,305.1,304.8,15334,13293787000.0,129501150,3078000,
2021-07-12,TATAMOTORS,2021-07-29,309.15,310.0,303.7,305.15,305.0,305.15,15022,13105447000.0,128227200,-1273950,
2021-07-13,TATAMOTORS,2021-07-29,307.15,312.6,306.8,311.8,311.5,311.8,15395,13588029999.999998,120649050,-7578150,
2021-07-14,TATAMOTORS,2021-07-29,310.9,313.5,308.3,309.4,308.85,309.4,9877,8733604000.0,121213350,564300,309.55
2021-07-15,TATAMOTORS,2021-07-29,309.8,314.0,307.65,311.05,311.0,311.05,11637,10298739000.0,121697850,484500,
2021-07-16,TATAMOTORS,2021-07-29,311.8,316.25,310.7,311.75,311.75,311.75,12523,11179935000.0,124872750,3174900,
2021-07-19,TATAMOTORS,2021-07-29,308.1,310.55,305.8,308.85,308.8,308.85,10377,9114229000.0,122772300,-2100450,
2021-07-20,TATAMOTORS,2021-07-29,307.05,307.9,301.85,302.7,302.5,302.7,12779,11085088000.0,120552150,-2220150,
2021-07-22,TATAMOTORS,2021-07-29,306.0,307.6,301.2,303.35,303.95,303.35,10048,8725013000.0,113558250,-6993900,
2021-07-23,TATAMOTORS,2021-07-29,300.0,301.2,294.15,295.45,295.65,295.45,13816,11664463000.0,111586050,-1972200,
2021-07-26,TATAMOTORS,2021-07-29,294.85,297.7,290.55,293.25,292.55,293.25,20411,17074867000.000002,84861600,-26724450,
2021-07-27,TATAMOTORS,2021-07-29,293.0,297.95,288.85,291.45,290.7,291.45,21846,18255456000.0,63324150,-21537450,291.4
2021-07-28,TATAMOTORS,2021-07-29,290.0,290.95,283.65,284.7,284.7,284.7,15691,12793371000.0,43642050,-19682100,284.45
2021-07-29,TATAMOTORS,2021-07-29,287.0,295.6,287.0,292.7,293.65,292.9,20011,16678860000.0,17536050,-26106000,
